event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),,adjusted_quantity,,Promo_price,,Total Revenue Generated,,Incremental revenue,,incremental sold unit
7d5e81,STCHE-5,CAMP_SAN_01,P07,300,BOGOF,43,167,,334,,150,,63000,,37200,,291
43feca,STMDU-3,CAMP_DIW_01,P13,350,BOGOF,56,184,,368,,175,,84000,,44800,,312
9779b0,STVSK-2,CAMP_DIW_01,P10,65,50% OFF,85,128,,128,,32.5,,9685,,-1365,,43
bd2635,STHYD-5,CAMP_DIW_01,P04,290,25% OFF,327,310,,310,,217.5,,162255,,-27405,,-17
4f255c,STHYD-1,CAMP_SAN_01,P08,1190,BOGOF,52,134,,268,,595,,221340,,97580,,216
386fdc,STVSK-1,CAMP_DIW_01,P01,172,33% OFF,257,364,,364,,115.24,,86151.36,,-2256.64,,107
3df185,STCBE-2,CAMP_DIW_01,P11,190,50% OFF,40,62,,62,,95,,13490,,-1710,,22
a37f93,STVSK-3,CAMP_DIW_01,P14,1020,BOGOF,38,117,,234,,510,,158100,,80580,,196
939435,STMLR-2,CAMP_SAN_01,P07,300,BOGOF,24,96,,192,,150,,36000,,21600,,168
38b760,STMDU-0,CAMP_DIW_01,P14,1020,BOGOF,33,126,,252,,510,,162180,,94860,,219
660f7c,STMYS-1,CAMP_SAN_01,P07,300,BOGOF,43,186,,372,,150,,68700,,42900,,329
5c8b9f,STMDU-1,CAMP_DIW_01,P01,172,33% OFF,187,289,,289,,115.24,,65468.36,,1140.36,,102
9.57E+11,STHYD-1,CAMP_SAN_01,P15,3000,500 Cashback,103,177,,177,,2500,,751500,,133500,,74
ddddb3,STBLR-2,CAMP_DIW_01,P09,110,50% OFF,103,136,,136,,55,,18810,,-3850,,33
90b2fb,STCHE-6,CAMP_DIW_01,P07,300,BOGOF,59,201,,402,,150,,78000,,42600,,343
cf9994,STCHE-5,CAMP_SAN_01,P10,50,25% OFF,37,31,,31,,37.5,,3012.5,,-687.5,,-6
fb4f00,STCHE-0,CAMP_DIW_01,P11,190,50% OFF,80,102,,102,,95,,24890,,-5510,,22
b41e58,STCBE-4,CAMP_DIW_01,P02,860,33% OFF,255,377,,377,,576.2,,436527.4,,-2072.59999999998,,122
567271,STMDU-0,CAMP_DIW_01,P10,65,50% OFF,78,102,,102,,32.5,,8385,,-1755,,24
902a62,STHYD-2,CAMP_DIW_01,P06,415,25% OFF,96,77,,77,,311.25,,63806.25,,-15873.75,,-19
da5d21,STBLR-9,CAMP_DIW_01,P10,65,50% OFF,92,125,,125,,32.5,,10042.5,,-1917.5,,33
8f2264,STBLR-7,CAMP_DIW_01,P12,62,50% OFF,124,184,,184,,31,,13392,,-1984,,60
1e2a0e,STBLR-9,CAMP_DIW_01,P01,172,33% OFF,329,467,,467,,115.24,,110405.08,,-2770.92,,138
7a6449,STHYD-3,CAMP_DIW_01,P10,65,50% OFF,131,203,,203,,32.5,,15112.5,,-1917.5,,72
6.24E+11,STMLR-0,CAMP_SAN_01,P03,200,BOGOF,206,541,,1082,,100,,149400,,67000,,876
5aa413,STCHE-1,CAMP_SAN_01,P08,1190,BOGOF,43,109,,218,,595,,180880,,78540,,175
11a64e,STCHE-7,CAMP_SAN_01,P06,415,25% OFF,31,28,,28,,311.25,,21580,,-4150,,-3
67820e,STBLR-0,CAMP_SAN_01,P10,50,25% OFF,31,25,,25,,37.5,,2487.5,,-612.5,,-6
cd0d8e,STMDU-2,CAMP_DIW_01,P11,190,50% OFF,66,77,,77,,95,,19855,,-5225,,11
ee63b3,STHYD-4,CAMP_DIW_01,P02,860,33% OFF,362,521,,521,,576.2,,611520.2,,-11119.8,,159
abffa2,STCHE-5,CAMP_DIW_01,P07,300,BOGOF,59,206,,412,,150,,79500,,44100,,353
5487a6,STBLR-0,CAMP_DIW_01,P03,156,25% OFF,358,315,,315,,117,,92703,,-18993,,-43
0a4160,STCHE-7,CAMP_DIW_01,P03,156,25% OFF,330,323,,323,,117,,89271,,-13689,,-7
6422b4,STCBE-0,CAMP_DIW_01,P01,172,33% OFF,255,425,,425,,115.24,,92837,,5117.00000000001,,170
6c7601,STCBE-2,CAMP_SAN_01,P14,1020,BOGOF,78,334,,668,,510,,420240,,261120,,590
d3575d,STMLR-2,CAMP_DIW_01,P02,860,33% OFF,210,268,,268,,576.2,,335021.6,,-26178.4,,58
75ad53,STVJD-1,CAMP_DIW_01,P05,55,25% OFF,59,48,,48,,41.25,,5225,,-1265,,-11
a08c5e,STMYS-2,CAMP_DIW_01,P05,55,25% OFF,99,88,,88,,41.25,,9075,,-1815,,-11
d8a4ae,STBLR-0,CAMP_SAN_01,P05,55,25% OFF,28,22,,22,,41.25,,2447.5,,-632.5,,-6
14f1e9,STBLR-4,CAMP_DIW_01,P08,1190,BOGOF,49,163,,326,,595,,252280,,135660,,277
11178a,STCBE-0,CAMP_DIW_01,P07,300,BOGOF,36,118,,236,,150,,46200,,24600,,200
62775f,STCHE-2,CAMP_DIW_01,P07,300,BOGOF,59,196,,392,,150,,76500,,41100,,333
5.88E+11,STHYD-3,CAMP_DIW_01,P12,62,50% OFF,112,178,,178,,31,,12462,,-1426,,66
4fca07,STMLR-2,CAMP_SAN_01,P01,172,33% OFF,183,215,,215,,115.24,,56252.6,,-6699.4,,32
a216f7,STCBE-2,CAMP_DIW_01,P06,415,25% OFF,77,68,,68,,311.25,,53120,,-10790,,-9
18a68a,STMLR-0,CAMP_DIW_01,P01,172,33% OFF,173,250,,250,,115.24,,58566,,-945.999999999996,,77
1f5ed3,STVSK-1,CAMP_SAN_01,P08,1190,BOGOF,33,131,,262,,595,,195160,,116620,,229
58e374,STBLR-0,CAMP_DIW_01,P07,300,BOGOF,64,250,,500,,150,,94200,,55800,,436
f7aec5,STCHE-5,CAMP_SAN_01,P13,350,BOGOF,87,341,,682,,175,,149800,,88900,,595
f4192d,STMYS-1,CAMP_DIW_01,P11,190,50% OFF,84,121,,121,,95,,27455,,-4465,,37
a71e7c,STCBE-2,CAMP_SAN_01,P12,62,50% OFF,33,51,,51,,31,,3627,,-465,,18
f49149,STMYS-0,CAMP_SAN_01,P06,415,25% OFF,27,22,,22,,311.25,,18052.5,,-4357.5,,-5
e7cb59,STCHE-3,CAMP_DIW_01,P11,190,50% OFF,96,120,,120,,95,,29640,,-6840,,24
8b1147,STVSK-0,CAMP_SAN_01,P15,3000,500 Cashback,73,170,,170,,2500,,644000,,206000,,97
8d349f,STCBE-4,CAMP_SAN_01,P10,50,25% OFF,22,18,,18,,37.5,,1775,,-425,,-4
096adc,STBLR-8,CAMP_SAN_01,P02,860,33% OFF,441,626,,626,,576.2,,739961.2,,-18558.8,,185
5f0a89,STBLR-3,CAMP_SAN_01,P15,3000,500 Cashback,114,249,,249,,2500,,964500,,280500,,135
127984,STMLR-2,CAMP_DIW_01,P04,290,25% OFF,141,125,,125,,217.5,,68077.5,,-13702.5,,-16
e8a904,STCHE-7,CAMP_DIW_01,P05,55,25% OFF,112,107,,107,,41.25,,10573.75,,-1746.25,,-5
f1b7e9,STCHE-3,CAMP_DIW_01,P14,1020,BOGOF,52,211,,422,,510,,268260,,162180,,370
62d659,STHYD-6,CAMP_DIW_01,P10,65,50% OFF,105,137,,137,,32.5,,11277.5,,-2372.5,,32
333b7d,STHYD-6,CAMP_DIW_01,P08,1190,BOGOF,49,166,,332,,595,,255850,,139230,,283
da9b71,STVSK-1,CAMP_DIW_01,P06,415,25% OFF,63,51,,51,,311.25,,42018.75,,-10271.25,,-12
463205,STVSK-2,CAMP_DIW_01,P02,860,33% OFF,215,371,,371,,576.2,,398670.2,,28870.2,,156
2b0db4,STMLR-2,CAMP_DIW_01,P14,1020,BOGOF,21,73,,146,,510,,95880,,53040,,125
003e8d,STCHE-3,CAMP_DIW_01,P02,860,33% OFF,371,519,,519,,576.2,,618107.8,,-20012.2,,148
b0ab6c,STHYD-4,CAMP_SAN_01,P06,415,25% OFF,34,31,,31,,311.25,,23758.75,,-4461.25,,-3
2d7f62,STCHE-2,CAMP_SAN_01,P11,190,50% OFF,58,68,,68,,95,,17480,,-4560,,10
58df9b,STCBE-2,CAMP_DIW_01,P02,860,33% OFF,183,327,,327,,576.2,,345797.4,,31037.4,,144
f22294,STMYS-1,CAMP_SAN_01,P01,172,33% OFF,345,520,,520,,115.24,,119264.8,,584.800000000003,,175
6.88E+10,STVJD-0,CAMP_SAN_01,P08,1190,BOGOF,22,88,,176,,595,,130900,,78540,,154
41b8f8,STBLR-0,CAMP_DIW_01,P08,1190,BOGOF,56,220,,440,,595,,328440,,195160,,384
7.34E+11,STCHE-0,CAMP_DIW_01,P06,415,25% OFF,105,92,,92,,311.25,,72210,,-14940,,-13
cbe691,STBLR-0,CAMP_DIW_01,P10,65,50% OFF,103,134,,134,,32.5,,11050,,-2340,,31
0f2c3a,STCBE-0,CAMP_SAN_01,P07,300,BOGOF,30,117,,234,,150,,44100,,26100,,204
5ae6d6,STBLR-1,CAMP_SAN_01,P09,90,25% OFF,82,74,,74,,67.5,,12375,,-2385,,-8
a9ee19,STBLR-1,CAMP_SAN_01,P08,1190,BOGOF,58,158,,316,,595,,257040,,119000,,258
4ab9ba,STTRV-1,CAMP_SAN_01,P01,172,33% OFF,165,232,,232,,115.24,,55115.68,,-1644.32,,67
3164ea,STMDU-2,CAMP_SAN_01,P01,172,33% OFF,265,328,,328,,115.24,,83378.72,,-7781.28,,63
7bdc1e,STVSK-4,CAMP_DIW_01,P07,300,BOGOF,50,149,,298,,150,,59700,,29700,,248
565a38,STTRV-0,CAMP_SAN_01,P07,300,BOGOF,30,117,,234,,150,,44100,,26100,,204
ab3517,STTRV-1,CAMP_SAN_01,P04,370,BOGOF,190,733,,1466,,185,,341510,,200910,,1276
1b295f,STCHE-5,CAMP_DIW_01,P12,62,50% OFF,110,130,,130,,31,,10850,,-2790,,20
a55960,STBLR-1,CAMP_DIW_01,P08,1190,BOGOF,50,149,,298,,595,,236810,,117810,,248
5a0c33,STCBE-2,CAMP_DIW_01,P10,65,50% OFF,87,127,,127,,32.5,,9782.5,,-1527.5,,40
74d23a,STCHE-0,CAMP_DIW_01,P07,300,BOGOF,75,252,,504,,150,,98100,,53100,,429
d105db,STCBE-4,CAMP_SAN_01,P07,300,BOGOF,43,111,,222,,150,,46200,,20400,,179
1620ea,STMYS-3,CAMP_DIW_01,P06,415,25% OFF,101,89,,89,,311.25,,69616.25,,-14213.75,,-12
2177f8,STMDU-0,CAMP_DIW_01,P04,290,25% OFF,234,208,,208,,217.5,,113100,,-22620,,-26
609bfd,STBLR-1,CAMP_DIW_01,P12,62,50% OFF,129,170,,170,,31,,13268,,-2728,,41
0013db,STBLR-1,CAMP_SAN_01,P02,860,33% OFF,435,622,,622,,576.2,,732496.4,,-15703.6,,187
6f3e24,STHYD-6,CAMP_DIW_01,P15,3000,500 Cashback,388,1129,,1129,,2500,,3986500,,1658500,,741
79a95a,STHYD-3,CAMP_SAN_01,P15,3000,500 Cashback,121,200,,200,,2500,,863000,,137000,,79
8cd1ec,STCHE-1,CAMP_SAN_01,P13,350,BOGOF,124,324,,648,,175,,156800,,70000,,524
e57227,STCHE-6,CAMP_SAN_01,P05,55,25% OFF,25,18,,18,,41.25,,2117.5,,-632.5,,-7
79577d,STBLR-9,CAMP_DIW_01,P03,156,25% OFF,348,337,,337,,117,,93717,,-14859,,-11
dbaf92,STBLR-6,CAMP_SAN_01,P01,172,33% OFF,301,454,,454,,115.24,,104090.96,,546.960000000006,,153
27bc6e,STCBE-2,CAMP_DIW_01,P14,1020,BOGOF,42,160,,320,,510,,206040,,120360,,278
53bb94,STHYD-2,CAMP_DIW_01,P02,860,33% OFF,402,611,,611,,576.2,,697778.2,,6338.20000000001,,209
2fe1bb,STCHE-1,CAMP_SAN_01,P04,370,BOGOF,460,1168,,2336,,185,,602360,,261960,,1876
e553f2,STTRV-0,CAMP_DIW_01,P13,350,BOGOF,38,129,,258,,175,,58450,,31850,,220
fc376a,STHYD-0,CAMP_SAN_01,P14,1020,BOGOF,106,422,,844,,510,,538560,,322320,,738
fdd666,STMLR-0,CAMP_DIW_01,P06,415,25% OFF,38,33,,33,,311.25,,26041.25,,-5498.75,,-5
bbf357,STVSK-4,CAMP_SAN_01,P11,190,50% OFF,40,57,,57,,95,,13015,,-2185,,17
d180ef,STBLR-7,CAMP_SAN_01,P01,172,33% OFF,341,531,,531,,115.24,,119844.44,,2540.44,,190
4888d5,STBLR-3,CAMP_DIW_01,P07,300,BOGOF,70,231,,462,,150,,90300,,48300,,392
dead78,STVJD-0,CAMP_DIW_01,P12,62,50% OFF,68,90,,90,,31,,7006,,-1426,,22
c198da,STMDU-2,CAMP_SAN_01,P06,415,25% OFF,19,15,,15,,311.25,,12553.75,,-3216.25,,-4
3cb389,STCHE-6,CAMP_DIW_01,P01,172,33% OFF,309,460,,460,,115.24,,106158.4,,-137.599999999999,,151
667c78,STVSK-4,CAMP_SAN_01,P01,172,33% OFF,223,301,,301,,115.24,,73043.24,,-3668.75999999999,,78
02b894,STBLR-2,CAMP_SAN_01,P02,860,33% OFF,477,658,,658,,576.2,,789359.6,,-31080.4,,181
1bff17,STCHE-6,CAMP_DIW_01,P05,55,25% OFF,112,85,,85,,41.25,,9666.25,,-2653.75,,-27
d6ff76,STMDU-2,CAMP_DIW_01,P14,1020,BOGOF,28,96,,192,,510,,126480,,69360,,164
d1e51d,STCBE-4,CAMP_DIW_01,P07,300,BOGOF,42,130,,260,,150,,51600,,26400,,218
8f2a5a,STVSK-2,CAMP_SAN_01,P11,190,50% OFF,25,37,,37,,95,,8265,,-1235,,12
87be33,STBLR-6,CAMP_SAN_01,P13,350,BOGOF,120,516,,1032,,175,,222600,,138600,,912
a1e541,STHYD-1,CAMP_DIW_01,P01,172,33% OFF,311,385,,385,,115.24,,97859.4,,-9124.6,,74
6a1a5a,STVSK-0,CAMP_DIW_01,P15,3000,500 Cashback,250,755,,755,,2500,,2637500,,1137500,,505
361cfb,STMLR-0,CAMP_DIW_01,P14,1020,BOGOF,22,69,,138,,510,,92820,,47940,,116
951bda,STBLR-9,CAMP_DIW_01,P07,300,BOGOF,63,213,,426,,150,,82800,,45000,,363
a692dc,STCHE-1,CAMP_SAN_01,P01,172,33% OFF,270,340,,340,,115.24,,85621.6,,-7258.39999999999,,70
94953c,STMLR-2,CAMP_SAN_01,P06,415,25% OFF,15,12,,12,,311.25,,9960,,-2490,,-3
af100a,STMLR-2,CAMP_SAN_01,P03,200,BOGOF,190,752,,1504,,100,,188400,,112400,,1314
223d36,STMYS-0,CAMP_DIW_01,P10,65,50% OFF,129,167,,167,,32.5,,13812.5,,-2957.5,,38
ff43bf,STHYD-2,CAMP_DIW_01,P11,190,50% OFF,91,116,,116,,95,,28310,,-6270,,25
44838e,STVJD-1,CAMP_DIW_01,P06,415,25% OFF,49,40,,40,,311.25,,32785,,-7885,,-9
1fa488,STVJD-0,CAMP_DIW_01,P07,300,BOGOF,31,105,,210,,150,,40800,,22200,,179
73211e,STCBE-1,CAMP_DIW_01,P01,172,33% OFF,182,223,,223,,115.24,,57002.52,,-5605.48,,41
93a29e,STCHE-4,CAMP_SAN_01,P05,55,25% OFF,28,22,,22,,41.25,,2447.5,,-632.5,,-6
ec5570,STVJD-1,CAMP_DIW_01,P10,65,50% OFF,71,95,,95,,32.5,,7702.5,,-1527.5,,24
6ee2af,STHYD-3,CAMP_SAN_01,P02,860,33% OFF,595,892,,892,,576.2,,1025670.4,,2270.40000000002,,297
f3a7b2,STHYD-6,CAMP_SAN_01,P01,172,33% OFF,306,416,,416,,115.24,,100571.84,,-4692.16,,110
2186aa,STCBE-3,CAMP_SAN_01,P05,55,25% OFF,19,15,,15,,41.25,,1663.75,,-426.25,,-4
e7bdad,STMLR-1,CAMP_DIW_01,P14,1020,BOGOF,24,80,,160,,510,,106080,,57120,,136
f90ae9,STCBE-0,CAMP_SAN_01,P13,350,BOGOF,82,323,,646,,175,,141750,,84350,,564
348fe6,STBLR-8,CAMP_DIW_01,P01,172,33% OFF,332,471,,471,,115.24,,111382.04,,-2825.96,,139
17d5c1,STCBE-0,CAMP_DIW_01,P13,350,BOGOF,52,173,,346,,175,,78750,,42350,,294
8f5618,STBLR-1,CAMP_DIW_01,P04,290,25% OFF,302,289,,289,,217.5,,150437.5,,-24722.5,,-13
6bfa15,STCBE-2,CAMP_SAN_01,P06,415,25% OFF,16,13,,13,,311.25,,10686.25,,-2593.75,,-3
aac58d,STBLR-6,CAMP_DIW_01,P08,1190,BOGOF,52,204,,408,,595,,304640,,180880,,356
ed0d01,STBLR-2,CAMP_DIW_01,P12,62,50% OFF,108,145,,145,,31,,11191,,-2201,,37
0eb41f,STVSK-2,CAMP_SAN_01,P01,172,33% OFF,232,364,,364,,115.24,,81851.36,,2043.36,,132
9b8658,STHYD-5,CAMP_DIW_01,P11,190,50% OFF,73,97,,97,,95,,23085,,-4655,,24
3bc352,STHYD-3,CAMP_DIW_01,P07,300,BOGOF,54,170,,340,,150,,67200,,34800,,286
40f110,STBLR-9,CAMP_DIW_01,P12,62,50% OFF,122,163,,163,,31,,12617,,-2511,,41
55fed8,STCBE-3,CAMP_DIW_01,P09,110,50% OFF,40,60,,60,,55,,7700,,-1100,,20
c1cdb5,STCHE-0,CAMP_SAN_01,P15,3000,500 Cashback,135,286,,286,,2500,,1120000,,310000,,151
c134bb,STBLR-8,CAMP_SAN_01,P07,300,BOGOF,51,205,,410,,150,,76800,,46200,,359
2361c6,STBLR-0,CAMP_DIW_01,P06,415,25% OFF,94,83,,83,,311.25,,64843.75,,-13176.25,,-11
b44f0e,STHYD-2,CAMP_SAN_01,P15,3000,500 Cashback,136,288,,288,,2500,,1128000,,312000,,152
607c9d,STCHE-2,CAMP_SAN_01,P02,860,33% OFF,556,711,,711,,576.2,,887838.2,,-68481.8,,155
5ea63d,STCBE-3,CAMP_DIW_01,P12,62,50% OFF,82,126,,126,,31,,8990,,-1178,,44
323aee,STVSK-0,CAMP_DIW_01,P07,300,BOGOF,36,119,,238,,150,,46500,,24900,,202
114087,STHYD-3,CAMP_SAN_01,P06,415,25% OFF,28,20,,20,,311.25,,17845,,-5395,,-8
99482c,STBLR-8,CAMP_SAN_01,P08,1190,BOGOF,42,161,,322,,595,,241570,,141610,,280
5ab1d5,STCHE-6,CAMP_DIW_01,P06,415,25% OFF,98,76,,76,,311.25,,64325,,-17015,,-22
97ad03,STCBE-1,CAMP_SAN_01,P02,860,33% OFF,379,462,,462,,576.2,,592144.4,,-59735.6,,83
b666fa,STTRV-1,CAMP_DIW_01,P05,55,25% OFF,57,55,,55,,41.25,,5403.75,,-866.25,,-2
da3c49,STMLR-2,CAMP_SAN_01,P02,860,33% OFF,270,313,,313,,576.2,,412550.6,,-51849.4,,43
3459ec,STCHE-3,CAMP_SAN_01,P02,860,33% OFF,468,636,,636,,576.2,,768943.2,,-36016.8,,168
7f81c2,STCHE-2,CAMP_DIW_01,P05,55,25% OFF,91,88,,88,,41.25,,8635,,-1375,,-3
b17786,STMLR-0,CAMP_SAN_01,P13,350,BOGOF,63,163,,326,,175,,79100,,35000,,263
2cbc21,STHYD-1,CAMP_SAN_01,P09,90,25% OFF,58,47,,47,,67.5,,8392.5,,-2047.5,,-11
eacf93,STTRV-1,CAMP_SAN_01,P11,190,50% OFF,24,34,,34,,95,,7790,,-1330,,10
0f184e,STVSK-0,CAMP_DIW_01,P05,55,25% OFF,89,80,,80,,41.25,,8195,,-1595,,-9
52ec61,STBLR-8,CAMP_DIW_01,P10,65,50% OFF,133,172,,172,,32.5,,14235,,-3055,,39
541bef,STHYD-4,CAMP_SAN_01,P01,172,33% OFF,234,322,,322,,115.24,,77355.28,,-3140.71999999999,,88
86a92b,STMLR-2,CAMP_DIW_01,P11,190,50% OFF,42,45,,45,,95,,12255,,-3705,,3
861116,STBLR-7,CAMP_DIW_01,P06,415,25% OFF,96,84,,84,,311.25,,65985,,-13695,,-12
c6d7c5,STMYS-3,CAMP_DIW_01,P12,62,50% OFF,124,145,,145,,31,,12183,,-3193,,21
b58c2d,STMYS-0,CAMP_SAN_01,P02,860,33% OFF,499,703,,703,,576.2,,834208.6,,-24071.4,,204
d59c23,STCBE-3,CAMP_DIW_01,P03,156,25% OFF,252,224,,224,,117,,65520,,-13104,,-28
68a7bc,STBLR-5,CAMP_DIW_01,P04,290,25% OFF,322,276,,276,,217.5,,153410,,-33350,,-46
f98db5,STBLR-2,CAMP_SAN_01,P15,3000,500 Cashback,129,279,,279,,2500,,1084500,,310500,,150
ffaba4,STBLR-8,CAMP_SAN_01,P09,90,25% OFF,46,33,,33,,67.5,,6367.5,,-1912.5,,-13
f725c0,STCBE-3,CAMP_SAN_01,P03,200,BOGOF,228,898,,1796,,100,,225200,,134000,,1568
f8e037,STHYD-2,CAMP_DIW_01,P08,1190,BOGOF,52,175,,350,,595,,270130,,146370,,298
b526b4,STCHE-7,CAMP_SAN_01,P02,860,33% OFF,525,756,,756,,576.2,,887107.2,,-15892.8,,231
0491f4,STVSK-2,CAMP_DIW_01,P11,190,50% OFF,38,58,,58,,95,,12730,,-1710,,20
879d99,STHYD-5,CAMP_DIW_01,P09,110,50% OFF,92,124,,124,,55,,16940,,-3300,,32
ec3591,STCHE-1,CAMP_SAN_01,P09,90,25% OFF,79,63,,63,,67.5,,11362.5,,-2857.5,,-16
2db607,STCBE-1,CAMP_DIW_01,P14,1020,BOGOF,40,136,,272,,510,,179520,,97920,,232
b78191,STBLR-3,CAMP_SAN_01,P14,1020,BOGOF,91,361,,722,,510,,461040,,275400,,631
7b1d41,STMYS-2,CAMP_DIW_01,P14,1020,BOGOF,43,125,,250,,510,,171360,,83640,,207
a6e691,STCHE-0,CAMP_SAN_01,P03,200,BOGOF,294,1134,,2268,,100,,285600,,168000,,1974
f21ef6,STMLR-1,CAMP_SAN_01,P06,415,25% OFF,18,14,,14,,311.25,,11827.5,,-3112.5,,-4
b999c5,STMYS-2,CAMP_SAN_01,P03,200,BOGOF,406,1015,,2030,,100,,284200,,121800,,1624
f6aa36,STVSK-3,CAMP_DIW_01,P06,415,25% OFF,63,54,,54,,311.25,,42952.5,,-9337.5,,-9
d78c78,STCHE-0,CAMP_DIW_01,P14,1020,BOGOF,52,182,,364,,510,,238680,,132600,,312
12573c,STHYD-3,CAMP_SAN_01,P12,62,50% OFF,64,100,,100,,31,,7068,,-868,,36
38ebfb,STCBE-1,CAMP_SAN_01,P10,50,25% OFF,27,20,,20,,37.5,,2100,,-600,,-7
5d23c1,STVSK-4,CAMP_SAN_01,P12,62,50% OFF,40,58,,58,,31,,4278,,-682,,18
449732,STBLR-9,CAMP_DIW_01,P05,55,25% OFF,101,97,,97,,41.25,,9556.25,,-1553.75,,-4
b83644,STBLR-6,CAMP_DIW_01,P11,190,50% OFF,75,117,,117,,95,,25365,,-3135,,42
17537,STMDU-2,CAMP_SAN_01,P08,1190,BOGOF,33,129,,258,,595,,192780,,114240,,225
ab8eb3,STHYD-6,CAMP_DIW_01,P06,415,25% OFF,85,74,,74,,311.25,,58307.5,,-12242.5,,-11
99ce6a,STVSK-3,CAMP_SAN_01,P03,200,BOGOF,250,687,,1374,,100,,187400,,87400,,1124
42b041,STBLR-1,CAMP_DIW_01,P01,172,33% OFF,357,514,,514,,115.24,,120637.36,,-2170.63999999999,,157
fd5955,STCBE-0,CAMP_DIW_01,P02,860,33% OFF,313,541,,541,,576.2,,580904.2,,42544.2,,228
9.33E+11,STBLR-3,CAMP_SAN_01,P08,1190,BOGOF,40,154,,308,,595,,230860,,135660,,268
268b09,STMLR-1,CAMP_SAN_01,P13,350,BOGOF,49,189,,378,,175,,83300,,49000,,329
dcaeaa,STBLR-7,CAMP_DIW_01,P04,290,25% OFF,276,242,,242,,217.5,,132675,,-27405,,-34
d31787,STMYS-2,CAMP_SAN_01,P10,50,25% OFF,25,20,,20,,37.5,,2000,,-500,,-5
f34069,STBLR-9,CAMP_SAN_01,P09,90,25% OFF,61,57,,57,,67.5,,9337.5,,-1642.5,,-4
4f40ed,STCHE-5,CAMP_SAN_01,P02,860,33% OFF,564,721,,721,,576.2,,900480.2,,-69599.8,,157
12bb06,STHYD-1,CAMP_DIW_01,P03,156,25% OFF,351,319,,319,,117,,92079,,-17433,,-32
5f2c41,STCHE-6,CAMP_DIW_01,P08,1190,BOGOF,54,185,,370,,595,,284410,,155890,,316
e0de60,STHYD-6,CAMP_DIW_01,P03,156,25% OFF,327,294,,294,,117,,85410,,-16614,,-33
152ae4,STHYD-1,CAMP_SAN_01,P12,62,50% OFF,51,57,,57,,31,,4929,,-1395,,6
8e6ee5,STMLR-0,CAMP_DIW_01,P05,55,25% OFF,52,45,,45,,41.25,,4716.25,,-1003.75,,-7
d0fd0e,STBLR-0,CAMP_SAN_01,P11,190,50% OFF,43,62,,62,,95,,14060,,-2280,,19
4fa17c,STCHE-4,CAMP_DIW_01,P01,172,33% OFF,327,503,,503,,115.24,,114209.72,,1721.72,,176
bcf305,STCHE-5,CAMP_DIW_01,P09,110,50% OFF,75,80,,80,,55,,12650,,-3850,,5
66050c,STCHE-6,CAMP_SAN_01,P08,1190,BOGOF,60,238,,476,,595,,354620,,211820,,416
407f1c,STBLR-2,CAMP_SAN_01,P13,350,BOGOF,117,469,,938,,175,,205100,,123200,,821
e12c11,STCHE-1,CAMP_SAN_01,P14,1020,BOGOF,112,294,,588,,510,,414120,,185640,,476
46d57b,STBLR-9,CAMP_DIW_01,P13,350,BOGOF,94,329,,658,,175,,148050,,82250,,564
e80ad8,STCHE-7,CAMP_DIW_01,P10,65,50% OFF,136,179,,179,,32.5,,14657.5,,-3022.5,,43
f2bdcc,STBLR-4,CAMP_DIW_01,P01,172,33% OFF,337,478,,478,,115.24,,113048.72,,-2879.28,,141
8d20b8,STBLR-5,CAMP_DIW_01,P09,110,50% OFF,75,95,,95,,55,,13475,,-3025,,20
f88523,STTRV-1,CAMP_SAN_01,P05,55,25% OFF,10,9,,9,,41.25,,921.25,,-178.75,,-1
177b80,STMLR-0,CAMP_SAN_01,P14,1020,BOGOF,37,96,,192,,510,,135660,,60180,,155
317699,STCHE-2,CAMP_SAN_01,P03,200,BOGOF,310,1246,,2492,,100,,311200,,187200,,2182
ef6d6d,STBLR-2,CAMP_SAN_01,P14,1020,BOGOF,88,346,,692,,510,,442680,,263160,,604
1e51ee,STVSK-3,CAMP_SAN_01,P12,62,50% OFF,43,51,,51,,31,,4247,,-1085,,8
c55ec9,STBLR-1,CAMP_SAN_01,P15,3000,500 Cashback,136,220,,220,,2500,,958000,,142000,,84
6bbadf,STHYD-1,CAMP_DIW_01,P14,1020,BOGOF,43,127,,254,,510,,173400,,85680,,211
edaef4,STHYD-5,CAMP_SAN_01,P03,200,BOGOF,416,1630,,3260,,100,,409200,,242800,,2844
d3f755,STCBE-1,CAMP_SAN_01,P08,1190,BOGOF,43,171,,342,,595,,254660,,152320,,299
0ba095,STCBE-1,CAMP_DIW_01,P03,156,25% OFF,274,210,,210,,117,,67314,,-18174,,-64
911349,STHYD-0,CAMP_DIW_01,P15,3000,500 Cashback,397,1214,,1214,,2500,,4226000,,1844000,,817
6d65d2,STBLR-8,CAMP_SAN_01,P04,370,BOGOF,480,1867,,3734,,185,,868390,,513190,,3254
4ab3bc,STHYD-2,CAMP_SAN_01,P09,90,25% OFF,66,49,,49,,67.5,,9247.5,,-2632.5,,-17
c22cf6,STCHE-6,CAMP_SAN_01,P12,62,50% OFF,58,81,,81,,31,,6107,,-1085,,23
cc2182,STMDU-1,CAMP_DIW_01,P12,62,50% OFF,85,117,,117,,31,,8897,,-1643,,32
bdf2b8,STVJD-1,CAMP_DIW_01,P12,62,50% OFF,56,71,,71,,31,,5673,,-1271,,15
